english,coptic,dialect,source,quality
"and he lifted his crown off his head, and set it upon the head of [the statue of] Apollo, and he bowed down and worshipped it three times, saying,",ⲁϥϥⲓ ⲙⲡⲉϥⲕⲗⲟⲙ ϩⲓϫⲱϥ · ⲁϥⲧⲁⲁϥ ⲉϫⲛⲧⲁⲡⲉ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ · ⲁϥⲟⲩⲱϣⲧ ⲛⲁϥ ⲛϣⲟⲙⲛⲧ ⲛⲥⲟⲡ ⲉϥϫⲱ ⲙⲙⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0026 (CC BY 4.0),gold
"Thou art the god who livest, O Apollo, the greatest of the gods, who dost give unto us victory in war.",ϫⲉⲛⲧⲕⲟⲩⲛⲟⲩⲧⲉ ⲉϥⲟⲛϩ ⲱ ⲡⲁⲡⲟⲗⲗⲱⲛ ⲡⲛⲟϭ ⲛⲛⲟⲩⲧⲉ · ⲡⲁⲓ ⲉⲧϯ ⲛⲁⲛ ⲙⲡⲉϫⲣⲟ ϩⲙⲡⲡⲟⲗⲉⲙⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0027 (CC BY 4.0),gold
"And after the Emperor had worshipped Apollo, his three fellow [Caesars], Romanus, Basileides, and Euaios, came and worshipped Apollo also.",ⲡⲣⲣⲟ ⲇⲉ ⲛⲧⲉⲣⲉϥⲟⲩⲱϣⲧ · ⲁⲡⲉϥⲕⲉϣⲟⲙⲛⲧ ⲛϣⲃⲏⲣ ⲉⲓ ⲉⲧⲣⲉⲩⲟⲩⲱϣⲧ · ϩⲣⲱⲙⲁⲛⲟⲥ · ⲙⲛⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ · ⲙⲛⲉⲩϩⲁⲓⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0028 (CC BY 4.0),gold
"Now these | held equal rank and power with the Fol. 2 « Emperor, and he loved them exceedingly.",ⲛⲁⲓ ⲉϩⲉⲛ ϩⲓⲥⲱⲛ ϩⲱⲟⲩ ⲛⲉ ⲛⲣⲣⲟ · ⲁⲩⲱ ⲉⲣⲉⲡⲣⲣⲟ ⲙⲉ ⲙⲙⲟⲟⲩ ⲉⲙⲁⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0029 (CC BY 4.0),gold
"And he had given ^ unto each one of them fifty centenarii ^ of gold, in addition to the most noble rank of generals in the army and the other honours which he had bestowed upon them.",ⲁϥϯ ⲇⲉ ⲛⲁⲩ ⲛⲧⲁⲉⲓⲟⲩ ⲛⲕⲉⲛⲧⲏⲛⲁⲣⲓⲟⲛ ⲛⲛⲟⲩⲃ ⲉⲡⲟⲩⲁ ⲭⲱⲣⲓⲥⲛⲁⲝⲓⲱⲙⲁ ⲛⲧⲙⲛⲧⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ⲙⲛⲛⲧⲁⲉⲓⲟ ⲛⲧⲁϥⲧⲁⲁⲩ ⲛⲁⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0030 (CC BY 4.0),gold
"And Diocletian said unto them, 'O my fellow [Caesars], I pray you to be persuaded by me, and to worship my gods.",ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ · ϫⲉⲱ ⲛⲁϣⲃⲏⲣ ⲡⲉⲓⲑⲉ ⲙⲙⲟⲓ ϩⲱⲧⲧⲏⲩⲧⲛ ⲛⲧⲉⲧⲛⲟⲩⲱϣⲧ ⲛⲛⲁⲛⲟⲩⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0031 (CC BY 4.0),gold
Ye yourselves can see this great festival which hath spread abroad everywhere this day.,ⲧⲉⲧⲛⲛⲁⲩ ⲛⲧⲱⲧⲛ ⲉⲛⲉⲓⲛⲟϭ ⲛϣⲁ ⲉⲧⲡⲟⲣϣ ⲉⲃⲟⲗ ⲙⲡⲟⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0032 (CC BY 4.0),gold
"I swear by the salvation of my strength, and by the salvation of the seventy gods, and by the strength of the great god Apollo, that I will make the whole world worship my gods,",ϣⲉⲡⲟⲩϫⲁⲓ ⲙⲡⲁⲕⲣⲁⲧⲟⲥ · ⲙⲛⲡⲟⲩϫⲁⲓ ⲙⲡⲉⲥϣϥⲉ ⲛⲛⲟⲩⲧⲉ ⲙⲛⲡⲛⲟϭ ⲛⲛⲟⲩⲧⲉ ⲡⲁⲡⲟⲗⲗⲱⲛ · ϯⲛⲁⲧⲣⲉⲡⲕⲟⲥⲙⲟⲥ ⲟⲩⲱϣⲧ ⲛⲛⲁⲛⲟⲩⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0033 (CC BY 4.0),gold
and the festival which is being celebrated this day shall be proclaimed throughout the whole world.,ⲁⲩⲱ ⲛⲥⲉⲧⲁϣⲉⲟⲉⲓϣ ⲙⲡϣⲁ ⲙⲡⲟⲟⲩ ϩⲙⲡⲕⲟⲥⲙⲟⲥ ⲧⲏⲣϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0034 (CC BY 4.0),gold
"And ye yourselves shall give propitiatory offerings and gifts to the temple of Apollo, besides those which the eparch and the generals shall give.'",ⲁⲩⲱ ⲛⲧⲱⲧⲛ ϩⲱⲧⲧⲏⲩⲧⲛ ⲧⲉⲧⲛⲁϯ ⲛϩⲉⲛⲭⲁⲣⲓⲥⲙⲁ ⲛⲇⲱⲣⲟⲛ ⲉⲡⲣⲡⲉ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ · ⲭⲱⲣⲓⲥⲛⲉⲧⲉⲣⲉⲛⲉⲡⲁⲣⲭⲟⲥ ⲛⲁⲧⲁⲁⲩ ⲙⲛⲛⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0035 (CC BY 4.0),gold
"And Romanus gave thirty centenarii of gold, and Basileides gave twenty, and Euaios gave ten, and the Emperor gave sixty ;",ϩⲣⲱⲙⲁⲛⲟⲥ ⲇⲉ ⲁϥϯⲙⲁⲁⲃ ⲛⲕⲉⲛⲧⲏⲛⲁⲣⲓⲟⲛ ⲛⲛⲟⲩⲃ · ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ ⲇⲉ ⲁϥϯϫⲟⲩⲱⲧ · ⲉⲩϩⲁⲓⲟⲥ ⲁϥϯⲙⲏⲧ · ⲡⲣⲣⲟ ⲇⲉ ⲁϥϯⲥⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0036 (CC BY 4.0),gold
in all they gave as free-will offerings to [the temple of] Apollo one hundred and twenty centenarii of gold.,ϩⲱⲥⲧⲉ · ϣⲉ ϫⲟⲩⲱⲧ ⲛⲕⲉⲛⲧⲏⲛⲁⲣⲓⲟⲛ ⲛⲛⲟⲩⲃ ⲛⲥⲉⲧⲁⲁⲩ ⲛⲭⲁⲣⲓⲥⲙⲁ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0037 (CC BY 4.0),gold
And the Emperor also gave three precious jewels [to be set] in the crown of Apollo^ and they were of exceedingly great price.,ⲁϥϯϣⲟⲙⲛⲧ ⲛⲱⲛⲉ ⲙⲙⲉ ⲉⲡⲉⲕⲗⲟⲙ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ ⲉⲛⲁϣⲉⲥⲟⲩⲉⲛⲧⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0038 (CC BY 4.0),gold
"And the Emperor said unto Romanus, the general o£ the army^",ⲡⲣⲣⲟ ⲇⲉ ⲡⲉϫⲁϥ ⲛϩⲣⲱⲙⲁⲛⲟⲥ ⲡⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0039 (CC BY 4.0),gold
'Offer thou up sacrifice to my gods' ;,ϫⲉⲑⲩⲥⲓⲁⲍⲉ ⲛⲛⲁⲛⲟⲩⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0040 (CC BY 4.0),gold
"and Romanus went forward and offered up sacrifice together with his two fellow [Caesars],",ⲁϥϯⲡⲉϥⲟⲩⲟⲓ ⲁϥⲑⲩⲥⲓⲁⲍⲉ ⲙⲛⲡⲉϥⲕⲉϣⲃⲏⲣ ⲥⲛⲁⲩ : —,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0041 (CC BY 4.0),gold
as did also the other nobles who were attached to the Palace.,ⲁⲩⲱ ⲡⲕⲉⲥⲉⲉⲡⲉ ⲛⲛⲛⲟϭ ⲉⲧϩⲙⲡⲡⲁⲗⲗⲁϯⲟⲛ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0042 (CC BY 4.0),gold
"On that day six hundred thousand soldiers and two millions of the people of the country worshipped [Apollo], and all the multitudes of the people were gathered together at the sacrifice of the Emperor.",ϩⲙⲡⲉϩⲟⲟⲩ ⲉⲧⲙⲙⲁⲩ · ⲁⲥⲉ ⲛⲧⲃⲁ ⲙⲙⲁⲧⲟⲓ ⲟⲩⲱϣⲧ ⲙⲛϣⲏⲧ ⲛⲧⲃⲁ ⲙⲡⲁⲅⲁⲛⲱⲥ · ⲉⲣⲉⲙⲙⲏⲏϣⲉ ⲧⲏⲣⲟⲩ ⲥⲟⲟⲩϩ ⲉⲧⲉⲑⲩⲥⲓⲁ ⲙⲡⲣⲣⲟ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0043 (CC BY 4.0),gold
"And it came to pass that when the turn of the Protector had come to offer up sacrifice, now his name was Basileides",ⲛⲧⲉⲣⲉⲡⲟⲣⲇⲓⲛⲟⲛ ⲇⲉ ⲛⲟⲩⲡⲣⲟⲧⲉⲕⲧⲱⲣ ⲧⲁϩⲟϥ · ⲉⲡⲉϥⲣⲁⲛ ⲡⲉ ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0044 (CC BY 4.0),gold
he would not worship the gods of the Emperor ;,ⲙⲡⲉϥⲑⲩⲥⲓⲁⲍⲉ ⲛⲛⲛⲟⲩⲧⲉ ⲙⲡⲣⲣⲟ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0045 (CC BY 4.0),gold
and Diocletian put him to death together with all his house.,ⲁⲗⲗⲁ ⲁⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ ⲙⲟⲟⲩⲧ ⲙⲙⲟϥ ⲙⲛⲛⲁⲡⲉϥⲏⲓ ⲧⲏⲣⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0046 (CC BY 4.0),gold
"And the whole city was greatly shaken by the thronging of the multitude,",ⲧⲡⲟⲗⲓⲥ ⲇⲉ ⲧⲏⲣⲥ ⲁⲥⲛⲟⲉⲓⲛ ϩⲓⲧⲛⲧⲁⲫⲟⲣⲙⲏ ⲙⲡⲙⲏⲏϣⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0047 (CC BY 4.0),gold
"and men died, being choked by the fumes of the frankincense^ and by the smell of the incense which the people were offering up upon the altar",ⲁⲩⲱ ⲁⲛⲣⲱⲙⲉ ⲣⲁⲡⲟⲡⲛⲓⲅⲉ ϩⲓⲧⲙⲡⲉⲥⲧⲟⲓ ⲙⲡⲗⲓⲃⲁⲛⲟⲥ · ⲙⲛⲡϣⲟⲩϩⲏⲛⲉ ⲉⲧⲉⲣⲉⲛⲣⲱⲙⲉ ⲧⲁⲗⲟ ⲙⲙⲟϥ ⲉϩⲣⲁⲓ : —,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0048 (CC BY 4.0),gold
"And those who died through being^ crushed by the multitudes were five thousand in number, in addi tion to those who died in the temple, who were also five thousand in number, excepting the ones who died in the temple.",ⲛⲉⲛⲧⲁⲩⲙⲟⲩ ⲅⲁⲣ ϩⲙⲡϩⲟϫϩϫ ⲛⲙⲙⲏⲏϣⲉ · ⲉⲩⲛⲁⲣϯⲟⲩ ⲛϣⲟ · ⲭⲱⲣⲓⲥⲛⲉⲛⲧⲁⲩⲙⲟⲩ ϩⲙⲡⲣⲡⲉ · ⲉⲩⲛⲁⲣⲕⲉϥⲧⲟⲟⲩϣⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0049 (CC BY 4.0),gold
"And the Emperor Diocletian went about throughout the whole city, saying,",ⲡⲣⲣⲟ ⲇⲉ ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ ⲁϥϩⲣⲟⲕⲉⲩⲉ ⲛⲧⲡⲟⲗⲓⲥ ⲧⲏⲣⲥ · ⲉϥϫⲱ ⲙⲙⲟⲥ,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0050 (CC BY 4.0),gold
"'When ye shall have finished offering up your sacrifices, [ye shall] eat and ye shall drink at the door of [the temple of] Apollo and Artemis,",ϫⲉⲉⲧⲉⲧⲛϣⲁⲛⲟⲩⲱ ⲉⲧⲉⲧⲛⲑⲩⲥⲓⲁⲍⲉ · ⲟⲩⲱⲙ ⲛⲧⲉⲧⲛⲥⲱ ϩⲓⲣⲙⲡⲣⲟ ⲙⲡⲁⲡⲟⲗⲗⲱⲛ ⲙⲛⲧⲁⲣⲧⲉⲙⲓⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0051 (CC BY 4.0),gold
"and ye shall glorify them, for it is they who have made the heavens, and the earth, and the sea, and mankind.^",ⲛⲧⲉⲧⲛϯⲉⲟⲟⲩ ⲛⲁⲩ · ϫⲉⲛⲧⲟⲟⲩ ⲛⲉ ⲛⲧⲁⲩⲧⲁⲙⲓⲉⲧⲡⲉ ⲙⲛⲡⲕⲁϩ · ⲙⲛⲧⲑⲁⲗⲁⲥⲥⲁ ⲙⲛⲛⲣⲱⲙⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0052 (CC BY 4.0),gold
"And the Emperor went back to the Palace at the time of the morning meal,",ⲡⲣⲣⲟ ⲇⲉ ⲁϥⲁⲛⲁⲭⲱⲣⲉⲓ ⲉⲡⲡⲁⲗⲗⲁϯⲟⲛ ⲙⲡⲛⲁⲩ ⲙⲡⲁⲣⲓⲥⲧⲟⲛ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0053 (CC BY 4.0),gold
"and he called Romanus the general and said unto him,",ⲁϥⲙⲟⲩⲧⲉ ⲉϩⲣⲱⲙⲁⲛⲟⲥ ⲡⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ⲡⲉϫⲁϥ ⲛⲁϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0054 (CC BY 4.0),gold
"'Take this edict, and make the rest of the multitude offer up sacrifice before thou dost leave them.'",ϫⲉϫⲓ ⲙⲡⲉⲓⲇⲓⲁⲧⲁⲅⲙⲁ · ⲙⲁⲣⲉⲛⲕⲉⲥⲉⲉⲡⲉ ⲙⲙⲏⲏϣⲉ ⲑⲩⲥⲓⲁⲍⲉ ⲙⲡⲁⲧⲕⲁⲛⲁⲭⲱⲣⲉⲓ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0055 (CC BY 4.0),gold
"Then Romanus the general took the edict from the hand of the Emperor,",ϩⲣⲱⲙⲁⲛⲟⲥ ⲇⲉ ⲡⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ⲁϥϫⲓ ⲙⲡⲇⲓⲁⲧⲁⲅⲙⲁ ⲛⲧⲟⲟⲧϥ ⲙⲡⲣⲣⲟ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0056 (CC BY 4.0),gold
"and he gave orders to the people, saying, 'O Romans, offer ye up sacrifice.'",ⲁϥⲕⲉⲗⲉⲩⲉ ⲛⲙⲙⲏⲏϣⲉ ϫⲉⲑⲩⲥⲓⲁⲍⲉ ⲱ ⲛⲣⲱⲙⲉ ⲛϩⲣⲱⲙⲁⲓⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0057 (CC BY 4.0),gold
And it came to pass that when all the people had offered up sacrifice it came to the turn of his son to offer up sacrifice.,ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲑⲩⲥⲓⲁⲍⲉ ⲧⲏⲣⲟⲩ · ⲁⲡⲟⲣⲇⲓⲛⲟⲛ ⲙⲡⲉϥϣⲏⲣⲉ ⲧⲁϩⲟϥ ⲉⲧⲣⲉϥⲑⲩⲥⲓⲁⲍⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0058 (CC BY 4.0),gold
"Now he was a young man of nineteen years of age, and he worshipped God, and held His commandments in fear.",ⲟⲩϣⲏⲣⲉ ⲡⲉ ⲉϥϩⲛⲙⲛⲧⲯⲓⲧⲉ ⲛⲣⲟⲙⲡⲉ · ⲉϥϣⲙϣⲉ ⲙⲡⲛⲟⲩⲧⲉ · ⲁⲩⲱ ⲉϥⲣϩⲟⲧⲉ ϩⲏⲧⲟⲩ ⲛⲛⲉϥⲉⲛⲧⲟⲗⲏ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0059 (CC BY 4.0),gold
"He was a virgin in body, he ate once only each week, he prayed all night long,",ⲉϥⲟ ⲙⲡⲁⲣⲑⲉⲛⲟⲥ ϩⲙⲡⲉϥⲥⲱⲙⲁ · ⲉϥⲟⲩⲱⲙ ⲛⲟⲩⲥⲟⲡ ⲕⲁⲧⲁⲥⲁⲃⲃⲁⲧⲟⲛ · ⲉϥϣⲗⲏⲗ ϩⲛⲛⲉⲩϣⲟⲟⲩⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0060 (CC BY 4.0),gold
and from the day wherein he had heard the Christians crying out to him in the church his heart had departed into heaven.,ϫⲓⲛⲡⲉϩⲟⲟⲩ ⲛⲧⲁϥⲥⲱⲧⲙ ⲉⲛⲉⲭⲣⲓⲥϯⲁⲛⲟⲥ ⲉⲩⲱϣ ⲉⲣⲟϥ ϩⲛⲧⲉⲕⲕⲗⲏⲥⲓⲁ · ⲁⲡⲉϥϩⲏⲧ ⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲙⲡⲏⲩⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0061 (CC BY 4.0),gold
"He hated the world. He did not drink wine, neither did he eat food cooked with fire.",ⲁϥⲙⲉⲥⲧⲉ ⲡⲕⲟⲥⲙⲟⲥ · ⲛⲉⲙⲉϥⲥⲉⲏⲣⲡ ⲇⲉ · ⲟⲩⲇⲉ ⲙⲉϥⲟⲩⲉⲙϭⲓⲛⲟⲩⲱⲙ ⲉϥϩⲏⲙ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0062 (CC BY 4.0),gold
"He did not decorate his person, and he did not adorn himself with rich apparel and fine raiment.",ⲟⲩⲇⲉ ⲧⲟⲃⲧⲃ ⲟⲩⲇⲉ ⲙⲉϥϣⲟⲩϣⲟⲩ ⲙⲙⲟϥ ϩⲛⲟⲩϩⲃⲥⲱ ⲛϩⲟⲉⲓⲧⲉ ⲉⲛⲉϩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0063 (CC BY 4.0),gold
He did not mount the horse which was used in a chariot (i. e. a war-horse).,ⲟⲩⲇⲉ ⲙⲉϥⲁⲗⲉ ⲉϩⲧⲟⲟⲩ ⲇⲉ ϩⲁⲣⲙⲁ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0064 (CC BY 4.0),gold
He neither ate food with his father nor did he enter into converse with him in the presence of any one who was greater than himself.,ⲟⲩⲇⲉ ⲙⲉϥⲟⲩⲱⲙ ⲙⲛⲡⲉϥⲉⲓⲱⲧ · ⲟⲩⲇⲉ ⲙⲉϥϣⲁϫⲉ ⲛⲙⲙⲁϥ · ϩⲓⲧϩⲏ ⲛⲛⲟϭ ⲉⲣⲟϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0065 (CC BY 4.0),gold
"He never gave utterance to an obscene (or, scurrilous) word,",ⲏ ⲛϥϫⲱ ⲛⲟⲩϣⲁϫⲉ ⲛϣⲗⲟϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0066 (CC BY 4.0),gold
"and never, under any circumstances, did he swear an oath by anything or by anybody.",ⲟⲩⲇⲉ ⲙⲉϥⲱⲣⲕ ⲗⲁⲁⲩ ⲛⲁⲛⲁϣ ⲉⲡⲧⲏⲣϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0067 (CC BY 4.0),gold
"And whenever he heard concerning any one who was in distress, if that person w^ere a Christian, ^ he used to minister unto him,",ⲁⲩⲱ ⲉϥϣⲁⲛⲥⲱⲧⲙ ⲉⲧⲃⲉⲟⲩⲁ ⲉϥⲟⲧⲡ ⲉϩⲟⲩⲛ · ⲉϣⲱⲡⲉ ⲟⲩⲭⲣⲓⲥϯⲁⲛⲟⲥ ⲡⲉ ϣⲁϥⲇⲓⲁⲕⲟⲛⲉⲓ ⲉⲣⲟϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0068 (CC BY 4.0),gold
"and give unto him of whatsoever he had need, without informing his father and mother of the same.",ⲁⲩⲱ ϣⲁϥϯⲧⲉϥⲭⲣⲉⲓⲁ ⲛⲁϥ · ⲭⲱⲣⲓⲥⲧⲁⲙⲉⲡⲉϥⲉⲓⲱⲧ ⲙⲛⲧⲉϥⲙⲁⲁⲩ : —,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0069 (CC BY 4.0),gold
And this was in addition to the things that he used to give to his slaves daily.,ⲁⲩⲱ ⲟⲛ ⲭⲱⲣⲓⲥⲛⲉⲧϥϯ ⲙⲙⲟⲟⲩ ⲛⲛⲉϥϩⲙϩⲁⲗ ⲙⲙⲏⲏⲛⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0070 (CC BY 4.0),gold
"He was wont to rise each morning at break of day, and to come forth to the door of his house,",ϣⲁϥϣⲟⲣⲡϥ ⲉϩⲧⲟⲟⲩⲉ ⲙⲙⲏⲏⲛⲉ · ⲛϥⲉⲓ ⲉⲃⲟⲗ ⲉϫⲙⲡⲣⲟ ⲙⲡⲉϥⲏⲓ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0071 (CC BY 4.0),gold
"and if he saw any one naked he would strip himself of the garment which he had on him, and give it to him.",ⲉϥϣⲁⲛⲛⲁⲩ ⲉⲟⲩⲁ ⲉϥⲕⲏⲕⲁϩⲏⲩ · ϣⲁϥⲕⲁⲁϥ ⲕⲁϩⲏⲩ ⲛⲧⲉϥϣⲧⲏⲛ ⲛϥⲧⲁⲁⲥ ⲛⲁϥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0072 (CC BY 4.0),gold
"And he performed all the commandments which were written,",ⲁⲩⲱ ⲛⲉϥⲉⲓⲣⲉ ⲛⲛⲉⲛⲧⲟⲗⲏ ⲧⲏⲣⲟⲩ ⲉⲧⲥⲏϩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0073 (CC BY 4.0),gold
and he fulfilled all the instructions in the Gospel of our Lord Jesus the Christ.,ⲁⲩⲱ ⲛⲉϥϫⲱⲕ ⲉⲃⲟⲗ ⲙⲡϣⲁϫⲉ ⲛⲛⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ ⲙⲡⲉⲛϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲭⲣⲓⲥⲧⲟⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0074 (CC BY 4.0),gold
"And his father wearied him exceedingly, saying, 'I shall take the daughter of Basileides the general for thee to wife,'",ⲡⲉϥⲉⲓⲱⲧ ⲇⲉ ⲁϥϩⲓⲥⲉ ⲛⲙⲙⲁϥ · ϫⲉⲉⲓⲛⲁϫⲓ ⲛⲁⲕ ⲛⲧϣⲉⲉⲣⲉ ⲛⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ ⲡⲉⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0075 (CC BY 4.0),gold
"for his father and Basileides had made an agreement in respect of her for two hundred centenarii of gold, besides gifts, and four hundred centenarii of silver,",ⲛⲉⲁⲩⲥⲙⲛⲧⲥ ⲅⲁⲣ ⲙⲛⲛⲉⲩⲉⲣⲏⲩ · ⲉϣⲏⲧ ⲛⲕⲉⲛⲧⲏⲛⲁⲣⲓⲟⲛ ⲛⲛⲟⲩⲃ · ⲭⲱⲣⲓⲥⲛⲧⲁⲉⲓⲟ · ⲁⲩⲱ ϥⲧⲟⲟⲩϣⲉ ⲛⲕⲉⲛⲧⲏⲛⲁⲣⲓⲟⲛ ⲛϩⲁⲧ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#martyrdom_victor-martyrdom_victor_01_s0076 (CC BY 4.0),gold
